"Reporting starts","Reporting ends","Campaign name",Age,Gender,"Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (VND)",Impressions,Reach,Ends,"Attribution setting","Total messaging contacts","New messaging contacts","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (VND)","Messaging conversations started","Cost per messaging conversation started (VND)","Clicks (all)"
2026-03-01,2026-04-01,ttanhboi,35-44,male,active,7189,actions:post_engagement,21.43343998,48000,Daily,154085,13681,10811,Ongoing,"7-day click or 1-day view",,,,,,,,113
2026-03-01,2026-04-01,ttanhboi,35-44,unknown,active,46,actions:post_engagement,20.95652174,48000,Daily,964,85,71,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,ttanhboi,45-54,female,active,8616,actions:post_engagement,21.95868152,48000,Daily,189196,14655,11031,Ongoing,"7-day click or 1-day view",,,,,,,,161
2026-03-01,2026-04-01,ttanhboi,45-54,male,active,10233,actions:post_engagement,21.99247532,48000,Daily,225049,19021,14565,Ongoing,"7-day click or 1-day view",,,,,,,,143
2026-03-01,2026-04-01,ttanhboi,45-54,unknown,active,44,actions:post_engagement,24.25,48000,Daily,1067,88,71,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-03-01,2026-04-01,ttanhboi,55-64,female,active,11965,actions:post_engagement,22.60785625,48000,Daily,270503,19579,14940,Ongoing,"7-day click or 1-day view",2,2,,,135251.5,2,135251.5,299
2026-03-01,2026-04-01,ttanhboi,55-64,male,active,8272,actions:post_engagement,23.01245164,48000,Daily,190359,14704,10804,Ongoing,"7-day click or 1-day view",,,,,,,,140
2026-03-01,2026-04-01,ttanhboi,55-64,unknown,active,75,actions:post_engagement,16.88,48000,Daily,1266,100,68,Ongoing,"7-day click or 1-day view",,,,,,,,4
2026-03-01,2026-04-01,ttanhboi,65+,female,active,6028,actions:post_engagement,22.72329131,48000,Daily,136976,9385,6947,Ongoing,"7-day click or 1-day view",1,1,,,136976,1,136976,148
2026-03-01,2026-04-01,ttanhboi,65+,male,active,4629,actions:post_engagement,23.03586088,48000,Daily,106633,7734,5677,Ongoing,"7-day click or 1-day view",,,,,,,,117
2026-03-01,2026-04-01,ttanhboi,65+,unknown,active,33,actions:post_engagement,22.66666667,48000,Daily,748,49,35,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-03-01,2026-04-01,ttboianh,25-34,female,inactive,74,actions:post_engagement,1835.55405405,47000,Daily,135831,4553,3900,Ongoing,"7-day click or 1-day view",,,,,,,,67
2026-03-01,2026-04-01,ttboianh,25-34,male,inactive,304,actions:post_engagement,1389.34539474,47000,Daily,422361,12648,10060,Ongoing,"7-day click or 1-day view",1,1,,,422361,1,422361,280
2026-03-01,2026-04-01,ttboianh,25-34,unknown,inactive,7,actions:post_engagement,947.14285714,47000,Daily,6630,195,166,Ongoing,"7-day click or 1-day view",,,,,,,,8
2026-03-01,2026-04-01,ttboianh,35-44,female,inactive,34,actions:post_engagement,1968.97058824,47000,Daily,66945,2005,1721,Ongoing,"7-day click or 1-day view",1,1,,,66945,1,66945,36
2026-03-01,2026-04-01,ttboianh,35-44,male,inactive,114,actions:post_engagement,1650.9122807,47000,Daily,188204,5546,4068,Ongoing,"7-day click or 1-day view",,,,,,,,109
2026-03-01,2026-04-01,ttboianh,35-44,unknown,inactive,3,actions:post_engagement,341,47000,Daily,1023,58,36,Ongoing,"7-day click or 1-day view",,,,,,,,3
2026-03-01,2026-04-01,ttboianh,45-54,female,inactive,34,actions:post_engagement,1551.44117647,47000,Daily,52749,1368,1155,Ongoing,"7-day click or 1-day view",,,,,,,,36
2026-03-01,2026-04-01,ttboianh,45-54,male,inactive,54,actions:post_engagement,1354.57407407,47000,Daily,73147,2012,1571,Ongoing,"7-day click or 1-day view",,,,,,,,57
2026-03-01,2026-04-01,ttboianh,45-54,unknown,inactive,,,,47000,Daily,126,7,6,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,ttboianh,55-64,female,inactive,51,actions:post_engagement,1178.47058824,47000,Daily,60102,1986,1520,Ongoing,"7-day click or 1-day view",,,,,,,,58
2026-03-01,2026-04-01,ttboianh,55-64,male,inactive,32,actions:post_engagement,1829.28125,47000,Daily,58537,1803,1269,Ongoing,"7-day click or 1-day view",,,,,,,,44
2026-03-01,2026-04-01,ttboianh,55-64,unknown,inactive,1,actions:post_engagement,1825,47000,Daily,1825,14,11,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-03-01,2026-04-01,ttboianh,65+,female,inactive,48,actions:post_engagement,1159.22916667,47000,Daily,55643,1739,1333,Ongoing,"7-day click or 1-day view",1,1,,,55643,1,55643,53
2026-03-01,2026-04-01,ttboianh,65+,male,inactive,31,actions:post_engagement,1735.96774194,47000,Daily,53815,1729,1234,Ongoing,"7-day click or 1-day view",,,,,,,,41
2026-03-01,2026-04-01,ttboianh,65+,unknown,inactive,1,actions:post_engagement,112,47000,Daily,112,8,8,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-03-01,2026-04-01,amank2,18-24,female,inactive,3,actions:onsite_conversion.lead_grouped,210489,189000,Daily,631467,7580,3798,Ongoing,"7-day click or 1-day view",5,5,,,126293.4,5,126293.4,125
2026-03-01,2026-04-01,amank2,18-24,male,inactive,2,actions:onsite_conversion.lead_grouped,389623.5,189000,Daily,779247,14850,7538,Ongoing,"7-day click or 1-day view",7,7,,,111321,7,111321,208
2026-03-01,2026-04-01,amank2,18-24,unknown,inactive,,,,189000,Daily,32589,382,222,Ongoing,"7-day click or 1-day view",,,,,,,,8
2026-03-01,2026-04-01,amank2,25-34,female,inactive,2,actions:onsite_conversion.lead_grouped,167984.5,189000,Daily,335969,2916,1578,Ongoing,"7-day click or 1-day view",3,3,,,111989.666667,3,111989.666667,46
2026-03-01,2026-04-01,amank2,25-34,male,inactive,5,actions:onsite_conversion.lead_grouped,127426.6,189000,Daily,637133,8764,4427,Ongoing,"7-day click or 1-day view",8,7,,,91019,7,91019,173
2026-03-01,2026-04-01,amank2,25-34,unknown,inactive,,,,189000,Daily,18760,167,70,Ongoing,"7-day click or 1-day view",,,,,,,,3
2026-03-01,2026-04-01,amank2,35-44,female,inactive,1,actions:onsite_conversion.lead_grouped,78348,189000,Daily,78348,596,309,Ongoing,"7-day click or 1-day view",1,1,,,78348,1,78348,13
2026-03-01,2026-04-01,amank2,35-44,male,inactive,1,actions:onsite_conversion.lead_grouped,108116,189000,Daily,108116,1272,647,Ongoing,"7-day click or 1-day view",4,2,,,54058,3,36038.666667,32
2026-03-01,2026-04-01,amank2,35-44,unknown,inactive,,,,189000,Daily,570,11,6,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,amank2,45-54,female,inactive,,,,189000,Daily,30891,149,94,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-03-01,2026-04-01,amank2,45-54,male,inactive,1,actions:onsite_conversion.lead_grouped,24395,189000,Daily,24395,268,154,Ongoing,"7-day click or 1-day view",1,,,,,1,24395,8
2026-03-01,2026-04-01,amank2,45-54,unknown,inactive,,,,189000,Daily,564,5,4,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,amank2,55-64,female,inactive,,,,189000,Daily,4045,19,12,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-03-01,2026-04-01,amank2,55-64,male,inactive,,,,189000,Daily,4221,33,23,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-03-01,2026-04-01,amank2,65+,female,inactive,,,,189000,Daily,2218,33,14,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,amank2,65+,male,inactive,,,,189000,Daily,2868,60,26,Ongoing,"7-day click or 1-day view",,,,,,,,3
