"Reporting starts","Reporting ends","Campaign name",Age,Gender,"Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (VND)",Impressions,Reach,Ends,"Attribution setting","Total messaging contacts","New messaging contacts","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (VND)","Messaging conversations started","Cost per messaging conversation started (VND)","Clicks (all)"
2026-03-01,2026-04-01,ttlinh,55-64,male,active,8968,actions:post_engagement,13.30842997,50000,Daily,119350,12606,9593,Ongoing,"7-day click or 1-day view",,,,,,,,110
2026-03-01,2026-04-01,ttlinh,55-64,unknown,active,25,actions:post_engagement,13.64,50000,Daily,341,38,34,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,ttlinh,65+,female,active,247,actions:post_engagement,14.81781377,50000,Daily,3660,356,279,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-03-01,2026-04-01,ttlinh,65+,male,active,3700,actions:post_engagement,13.42864865,50000,Daily,49686,4979,3946,Ongoing,"7-day click or 1-day view",,,,,,,,61
2026-03-01,2026-04-01,ttlinh,65+,unknown,active,11,actions:post_engagement,12.63636364,50000,Daily,139,15,10,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,ttmanh,18-24,female,active,655,actions:post_engagement,22.12519084,51000,Daily,14492,1206,921,Ongoing,"7-day click or 1-day view",,,,,,,,14
2026-03-01,2026-04-01,ttmanh,18-24,male,active,2935,actions:post_engagement,22.19897785,51000,Daily,65154,6006,4384,Ongoing,"7-day click or 1-day view",,,,,,,,57
2026-03-01,2026-04-01,ttmanh,18-24,unknown,active,39,actions:post_engagement,19.58974359,51000,Daily,764,78,60,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,ttmanh,25-34,female,active,818,actions:post_engagement,21.93643032,51000,Daily,17944,1518,1225,Ongoing,"7-day click or 1-day view",,,,,,,,12
2026-03-01,2026-04-01,ttmanh,25-34,male,active,7443,actions:post_engagement,21.83702808,51000,Daily,162533,15017,11769,Ongoing,"7-day click or 1-day view",,,,,,,,121
2026-03-01,2026-04-01,ttmanh,25-34,unknown,active,61,actions:post_engagement,24.27868852,51000,Daily,1481,129,93,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,ttmanh,35-44,female,active,1571,actions:post_engagement,21.60789306,51000,Daily,33946,2877,2264,Ongoing,"7-day click or 1-day view",,,,,,,,25
2026-03-01,2026-04-01,ttmanh,35-44,male,active,15919,actions:post_engagement,22.48947798,51000,Daily,358010,32714,24155,Ongoing,"7-day click or 1-day view",1,1,,,358010,1,358010,161
2026-03-01,2026-04-01,ttmanh,35-44,unknown,active,58,actions:post_engagement,22.72413793,51000,Daily,1318,118,91,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,ttmanh,45-54,female,active,2651,actions:post_engagement,21.65333836,51000,Daily,57403,4450,3347,Ongoing,"7-day click or 1-day view",,,,,,,,42
